ID	post_title	post_name	year	month	day
2527	Lenovo Laptop - Dead Condition	lenovo-laptop-dead-condition	2021	12	29
2525	Improved Spin Drill	improved-spin-drill	2021	12	29
2520	Acer Laptop - HDD Replacement	acer-laptop-hdd-replacement	2021	12	29
2518	Tree 2D Art	tree-2d-art	2021	12	29
2510	Hp Laptop - Software Services	hp-laptop-software-services	2021	12	29
2502	SD CARD GRIP	sd-card-grip	2021	12	29
2506	Samsung J7 Prime - Display Glass Replacement	samsung-j7-prime-display-glass-replacement	2021	12	29
2498	iPhone 7 - Battery Replacement	iphone-7-battery-replacement-2	2021	12	29
2489	Mini  Tap Wrench	2489	2021	12	29
2494	Samsung M11 - Display Combo Replacement	samsung-m11-display-combo-replacement	2021	12	29
2490	One Plus 3 - Dead Condition	one-plus-3-dead-condition	2021	12	29
2482	Hex Handel	2482	2021	12	29
2483	Redmi 4 - Dead Condition	redmi-4-dead-condition-2	2021	12	29
2479	Cable Spool	cable-spool	2021	12	28
2476	Oil Funnel	oil-funnel	2021	12	28
2473	90 and 45 degree Drilling Guide	90-and-45-degree-drilling-guide	2021	12	28
